index,filename,new category name,old category name,username,user_url,file_url,ID
,Canonical Examples,,,,,,
0,157166__kristophertiberiushaven__grrr-version-4_perfect.wav,000Animal_Domestic animals_ pets_Cat_Growling,001Animal_Domestic animals_ pets_Cat_Growling,kristophertiberiushaven,https://freesound.org/people/KristopherTiberiusHaven/,https://freesound.org/people/KristopherTiberiusHaven/sounds/157166/,157166
1,50357__secondbody__angry-cat-roo_perfect.wav,001Animal_Domestic animals_ pets_Cat_Hiss,002Animal_Domestic animals_ pets_Cat_Hiss,secondbody,https://freesound.org/people/secondbody,https://freesound.org/people/secondbody/sounds/50357,50357
2,138404__cameronmusic__cat-meow_perfect.wav,002Animal_Domestic animals_ pets_Cat_Meow,003Animal_Domestic animals_ pets_Cat_Meow,cameronmusic,https://freesound.org/people/cameronmusic,https://freesound.org/people/cameronmusic/sounds/138404,138404
3,126150__buskieboy__purr1_perfect.wav,003Animal_Domestic animals_ pets_Cat_Purr,004Animal_Domestic animals_ pets_Cat_Purr,buskieboy,https://freesound.org/people/buskieboy,https://freesound.org/people/buskieboy/sounds/126150,126150
4,157322__anton__dog-bark-staffordshire-bullterrier1_perfect.wav,004Animal_Domestic animals_ pets_Dog_Bark,005Animal_Domestic animals_ pets_Dog_Bark,anton,https://freesound.org/people/anton,https://freesound.org/people/anton/sounds/157322,157322
5,78324__benboncan1__dog-growl_perfect.wav,005Animal_Domestic animals_ pets_Dog_Growling,006Animal_Domestic animals_ pets_Dog_Growling,Benboncan,https://freesound.org/people/Benboncan,https://freesound.org/people/Benboncan/sounds/78324/,78324
6,155478__gb01__howl-bark-whine_perfect.wav,006Animal_Domestic animals_ pets_Dog_Howl,007Animal_Domestic animals_ pets_Dog_Howl,gb01,https://freesound.org/people/gb01,https://freesound.org/people/gb01/sounds/155478,155478
7,210101__manjushri__cowbell-03_perfect.wav,007Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Cowbell,008Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Cowbell,manjushri,https://freesound.org/people/manjushri,https://freesound.org/people/manjushri/sounds/210101,210101
8,16568__acclivity__twocows1_perfect.wav,008Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Moo,009Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Moo,acclivity,https://freesound.org/people/acclivity,https://freesound.org/people/acclivity/sounds/16568,16568
9,120587__dobroide__20110503-clucking-05_perfect.wav,009Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Cluck,010Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Cluck,dobroide,https://freesound.org/people/dobroide,https://freesound.org/people/dobroide/sounds/120587,120587
10,200339__jsbarrett__rooster-crow_perfect.wav,010Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Crowing_ cock-a-doodle-doo,011Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Crowing_ cock-a-doodle-doo,jsbarrett,https://freesound.org/people/jsbarrett,https://freesound.org/people/jsbarrett/sounds/200339,200339
11,244329__squashy555__ducks1_perfect.wav,011Animal_Livestock_ farm animals_ working animals_Fowl_Duck_Quack,012Animal_Livestock_ farm animals_ working animals_Fowl_Duck_Quack,squashy555,https://freesound.org/people/squashy555,https://freesound.org/people/squashy555/sounds/244329,244329
12,104791__lococleta__canada-honcker-1ii_perfect.wav,012Animal_Livestock_ farm animals_ working animals_Fowl_Goose_Honk,013Animal_Livestock_ farm animals_ working animals_Fowl_Goose_Honk,lococleta,https://freesound.org/people/lococleta,https://freesound.org/people/lococleta/sounds/104791,104791
13,67675__sinatra314__turkeygobble1_perfect.wav,013Animal_Livestock_ farm animals_ working animals_Fowl_Turkey_Gobble,014Animal_Livestock_ farm animals_ working animals_Fowl_Turkey_Gobble,sinatra314,https://freesound.org/people/sinatra314,https://freesound.org/people/sinatra314/sounds/67675,67675
14,343025__klankbeeld__goat-bleat-01_perfect.wav,014Animal_Livestock_ farm animals_ working animals_Goat_Bleat,015Animal_Livestock_ farm animals_ working animals_Goat_Bleat,klankbeeld,https://freesound.org/people/klankbeeld,https://freesound.org/people/klankbeeld/sounds/343025,343025
15,182504__swiftoid__horse-clip-clopping-downhill-stereo_perfect.wav,015Animal_Livestock_ farm animals_ working animals_Horse_Clip-clop,016Animal_Livestock_ farm animals_ working animals_Horse_Clip-clop,swiftoid,https://freesound.org/people/swiftoid,https://freesound.org/people/swiftoid/sounds/182504,182504
16,321950__n-audioman__horse-neigh-01_perfect.wav,016Animal_Livestock_ farm animals_ working animals_Horse_Neigh_ whinny,017Animal_Livestock_ farm animals_ working animals_Horse_Neigh_ whinny,n_audioman,https://freesound.org/people/n_audioman,https://freesound.org/people/n_audioman/sounds/321950,321950
17,322454__goodlistener__horse-snort-2_perfect.wav,017Animal_Livestock_ farm animals_ working animals_Horse_Snort (horse),018Animal_Livestock_ farm animals_ working animals_Horse_Snort (horse),goodlistener,https://freesound.org/people/goodlistener,https://freesound.org/people/goodlistener/sounds/322454,322454
18,233180__jarredgibb__pig-multiple-snorts-5-2-pigs-96khz_perfect.wav,018Animal_Livestock_ farm animals_ working animals_Pig_Oink,019Animal_Livestock_ farm animals_ working animals_Pig_Oink,jarredgibb,https://freesound.org/people/jarredgibb,https://freesound.org/people/jarredgibb/sounds/233180,233180
19,98303__bruceosonhadordeverdade__flapping-bird_1_perfect.wav,019Animal_Wild animals_Bird_Bird flight_ flapping wings,020Animal_Wild animals_Bird_Bird flight_ flapping wings,bruceosonhadordeverdade,https://freesound.org/people/bruceosonhadordeverdade,https://freesound.org/people/bruceosonhadordeverdade/sounds/98303,98303
20,164489__adam-n__tweeting1_perfect.wav,020Animal_Wild animals_Bird_Bird vocalization_ bird call_ bird song_Chirp_ tweet,021Animal_Wild animals_Bird_Bird vocalization_ bird call_ bird song_Chirp_ tweet,adam_n,https://freesound.org/people/adam_n,https://freesound.org/people/adam_n/sounds/164489,164489
21,_perfect.wav,021Animal_Wild animals_Bird_Crow_Caw,022Animal_Wild animals_Bird_Crow_Caw,SFXsource.com,https://freesound.org/people/SFXsource.com/,https://freesound.org/people/SFXsource.com/sounds/110337/,110337
22,251937__musicmasta11__owlhoot-clean_perfect.wav,022Animal_Wild animals_Bird_Owl_Hoot,023Animal_Wild animals_Bird_Owl_Hoot,musicmasta1,https://freesound.org/people/musicmasta1,https://freesound.org/people/musicmasta1/sounds/251937/,251937
23,319512__squashy555__pigeon1_perfect.wav,023Animal_Wild animals_Bird_Pigeon_ dove_Coo,024Animal_Wild animals_Bird_Pigeon_ dove_Coo,squashy555,https://freesound.org/people/squashy555,https://freesound.org/people/squashy555/sounds/319512,319512
24,241978__alienistcog__2014-tree-frogs41_perfect.wav,024Animal_Wild animals_Frog_Croak,025Animal_Wild animals_Frog_Croak,alienistcog,https://freesound.org/people/alienistcog,https://freesound.org/people/alienistcog/sounds/241978,241978
25,315966__marekwojtaszek__bees-in-lavender1_perfect.wav,025Animal_Wild animals_Insect_Bee_ wasp_ etc_Buzz,026Animal_Wild animals_Insect_Bee_ wasp_ etc_Buzz,marekwojtaszek,https://freesound.org/people/marekwojtaszek,https://freesound.org/people/marekwojtaszek/sounds/315966,315966
26,362404__outdoor-recordings__cricket1_perfect.wav,026Animal_Wild animals_Insect_Cricket,027Animal_Wild animals_Insect_Cricket,outdoor_recordings,https://freesound.org/people/outdoor_recordings,https://freesound.org/people/outdoor_recordings/sounds/362404,362404
27,188708__zywx__flying-mosquito_perfect.wav,027Animal_Wild animals_Insect_Mosquito,028Animal_Wild animals_Insect_Mosquito,zywx,https://freesound.org/people/zywx,https://freesound.org/people/zywx/sounds/188708,188708
28,212764__qubodup__lion-roar_perfect.wav,028Animal_Wild animals_Roaring cats (lions_ tigers)_Roar,029Animal_Wild animals_Roaring cats (lions_ tigers)_Roar,qubodup,https://freesound.org/people/qubodup,https://freesound.org/people/qubodup/sounds/212764,212764
29,288941__toefur__rat-squeak_perfect.wav,029Animal_Wild animals_Rodents_ rats_ mice_Mouse___3Samples,030Animal_Wild animals_Rodents_ rats_ mice_Mouse___3Samples,toefur,https://freesound.org/people/toefur,https://freesound.org/people/toefur/sounds/288941,288941
30,268580__7h3-lark__rattle-snake1_perfect.wav,030Animal_Wild animals_Snake_Rattle,031Animal_Wild animals_Snake_Rattle,7h3_lark,https://freesound.org/people/7h3_lark,https://freesound.org/people/7h3_lark/sounds/268580,268580
31,274477__adamamazing__50hz-light-buzz_perfect.wav,031Channel_ environment and background_Noise_Background noise_Mains hum,032Channel_ environment and background_Noise_Background noise_Mains hum,adamamazing,https://freesound.org/people/adamamazing,https://freesound.org/people/adamamazing/sounds/274477,274477
32,242209__monotraum__tape-hiss_perfect.wav,032Channel_ environment and background_Noise_Background noise_Tape hiss,035Channel_ environment and background_Noise_Background noise_Tape hiss,monotraum,https://freesound.org/people/monotraum,https://freesound.org/people/monotraum/sounds/242209,242209
33,165057__theundecided__pink-noise_perfect.wav,033Channel_ environment and background_Noise_Pink noise,036Channel_ environment and background_Noise_Pink noise,theundecided,https://freesound.org/people/theundecided,https://freesound.org/people/theundecided/sounds/165057,165057
34,20009__cdrk__wn-looped_perfect.wav,034Channel_ environment and background_Noise_White noise,038Channel_ environment and background_Noise_White noise,cdrk,https://freesound.org/people/cdrk,https://freesound.org/people/cdrk/sounds/20009,20009
35,246189__andreangelo__bite-3_perfect.wav,035Human sounds_Digestive_Biting_ Chewing,039Human sounds_Digestive_Biting_ Chewing,andreangelo,https://freesound.org/people/andreangelo,https://freesound.org/people/andreangelo/sounds/246189,246189
36,326916__glencurtisadams__burp2_perfect.wav,036Human sounds_Digestive_Burping_ eructation,040Human sounds_Digestive_Burping_ eructation,glencurtisadams,https://freesound.org/people/glencurtisadams,https://freesound.org/people/glencurtisadams/sounds/326916,326916
37,85137__ifartinurgeneraldirection__toilet-fart11_perfect.wav,037Human sounds_Digestive_Fart,042Human sounds_Digestive_Fart,ifartinurgeneraldirection,https://freesound.org/people/ifartinurgeneraldirection,https://freesound.org/people/ifartinurgeneraldirection/sounds/85137,85137
38,60673__k1m218__gargling2_perfect.wav,038Human sounds_Digestive_Gargling,043Human sounds_Digestive_Gargling,k1m218,https://freesound.org/people/k1m218,https://freesound.org/people/k1m218/sounds/60673,60673
39,250140__hephaestus__adult-male-hiccup_perfect.wav,039Human sounds_Digestive_Hiccup,044Human sounds_Digestive_Hiccup,hephaestus,https://freesound.org/people/hephaestus,https://freesound.org/people/hephaestus/sounds/250140,250140
40,245822__mafon2__hungry-stomach_perfect.wav,040Human sounds_Digestive_Stomach rumble,045Human sounds_Digestive_Stomach rumble,mafon2,https://freesound.org/people/mafon2,https://freesound.org/people/mafon2/sounds/245822,245822
41,267930__anagar__clapping_perfect.wav,041Human sounds_Hands_Clapping,046Human sounds_Hands_Clapping,anagar,https://freesound.org/people/anagar,https://freesound.org/people/anagar/sounds/267930,267930
42,332604__vckhaze__single-finger-snap_perfect.wav,042Human sounds_Hands_Finger snapping,047Human sounds_Hands_Finger snapping,vckhaze,https://freesound.org/people/vckhaze,https://freesound.org/people/vckhaze/sounds/332604,332604
43,146765__thenudo__heart-beat_perfect.wav,043Human sounds_Heart sounds_ heartbeat,048Human sounds_Heart sounds_ heartbeat,thenudo,https://freesound.org/people/thenudo,https://freesound.org/people/thenudo/sounds/146765,146765
44,198091__littleboot__applause-two_perfect.wav,044Human sounds_Human group actions_Applause,049Human sounds_Human group actions_Applause,littleboot,https://freesound.org/people/littleboot,https://freesound.org/people/littleboot/sounds/198091,198091
45,336997__corsica-s__boo-01_perfect.wav,045Human sounds_Human group actions_Booing,050Human sounds_Human group actions_Booing,corsica_s,https://freesound.org/people/corsica_s,https://freesound.org/people/corsica_s/sounds/336997,336997
46,337000__corsica-s__cheer-01_perfect.wav,046Human sounds_Human group actions_Cheering,051Human sounds_Human group actions_Cheering,corsica_s,https://freesound.org/people/corsica_s,https://freesound.org/people/corsica_s/sounds/337000,337000
47,68058__robinhood76__00916-children-scream-1_perfect.wav,047Human sounds_Human group actions_Children shouting,052Human sounds_Human group actions_Children shouting,robinhood76,https://freesound.org/people/robinhood76,https://freesound.org/people/robinhood76/sounds/68058,68058
48,86011__nextmaking__run-on-dart_perfect.wav,048Human sounds_Human locomotion_Run,054Human sounds_Human locomotion_Run,nextmaking,https://freesound.org/people/nextmaking,https://freesound.org/people/nextmaking/sounds/86011,86011
49,143932__wentzelj__feet1_perfect.wav,049Human sounds_Human locomotion_Shuffle,055Human sounds_Human locomotion_Shuffle,wentzelj,https://freesound.org/people/wentzelj,https://freesound.org/people/wentzelj/sounds/143932,143932
50,98491__tec-studios__walking1-gravel_perfect.wav,050Human sounds_Human locomotion_Walk_ footsteps,056Human sounds_Human locomotion_Walk_ footsteps,tec studios,https://freesound.org/people/tec%20studios/,https://freesound.org/people/tec%20studios/sounds/98491/,98491
51,144473__panikko__baby-crying_perfect.wav,051Human sounds_Human voice_Crying_ sobbing_Baby cry_ infant cry,057Human sounds_Human voice_Crying_ sobbing_Baby cry_ infant cry,panikko,https://freesound.org/people/panikko,https://freesound.org/people/panikko/sounds/144473,144473
52,103072__muses212__groans_perfect.wav,052Human sounds_Human voice_Groan,059Human sounds_Human voice_Groan,muses212,https://freesound.org/people/muses212,https://freesound.org/people/muses212/sounds/103072,103072
53,129346__snaginneb__male-grunt_perfect.wav,053Human sounds_Human voice_Grunt,060Human sounds_Human voice_Grunt,snaginneb,https://freesound.org/people/snaginneb,https://freesound.org/people/snaginneb/sounds/129346,129346
54,368817__mahakush__male-hum_perfect.wav,054Human sounds_Human voice_Humming,061Human sounds_Human voice_Humming,mahakush,https://freesound.org/people/mahakush,https://freesound.org/people/mahakush/sounds/368817,368817
55,110392__soundscalpel-com__human-baby-toddler-male-15-months-laugh_perfect.wav,055Human sounds_Human voice_Laughter_Baby laughter,062Human sounds_Human voice_Laughter_Baby laughter,soundscalpel.com,https://freesound.org/people/soundscalpel.com/,https://freesound.org/people/soundscalpel.com/sounds/110392/,110392
56,333271__silversatyr__chuckle 1_perfect.wav,056Human sounds_Human voice_Laughter_Chuckle_ chortle,064Human sounds_Human voice_Laughter_Chuckle_ chortle,silversatyr,https://freesound.org/people/silversatyr,https://freesound.org/people/silversatyr/sounds/333271,333271
57,345022__leszekstan__laugh2_perfect.wav,057Human sounds_Human voice_Laughter_Giggle,065Human sounds_Human voice_Laughter_Giggle,leszekstan,https://freesound.org/people/leszekstan,https://freesound.org/people/leszekstan/sounds/345022,345022
