filename	classname	category_d1	category_d2	category_d3	category_d4	category_d5	category_d6	is_reference	multi_labeled
000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	000Animal_Domestic animals_ pets_Cat_Growling	Animal	"Domestic animals, pets"	Cat	Growling			TRUE	FALSE
146968__zabuhailo__catgrowls.wav	000Animal_Domestic animals_ pets_Cat_Growling	Animal	"Domestic animals, pets"	Cat	Growling			FALSE	FALSE
277515__gezortenplotz__cat-growl-edit.wav	000Animal_Domestic animals_ pets_Cat_Growling	Animal	"Domestic animals, pets"	Cat	Growling			FALSE	FALSE
363103__fractalstudios__kitten-hiss-and-growl.wav	000Animal_Domestic animals_ pets_Cat_Growling	Animal	"Domestic animals, pets"	Cat	Growling			FALSE	FALSE
363104__fractalstudios__cat-growling-001.wav	000Animal_Domestic animals_ pets_Cat_Growling	Animal	"Domestic animals, pets"	Cat	Growling			FALSE	FALSE
368011__trngle__meow-8.wav	000Animal_Domestic animals_ pets_Cat_Growling	Animal	"Domestic animals, pets"	Cat	Growling			FALSE	FALSE
49784__urmumsacow__angry-cat.wav	000Animal_Domestic animals_ pets_Cat_Growling	Animal	"Domestic animals, pets"	Cat	Growling			FALSE	FALSE
95532__dobroide__20100421-dog-vs-cat-02.wav	000Animal_Domestic animals_ pets_Cat_Growling	Animal	"Domestic animals, pets"	Cat	Growling			FALSE	FALSE
001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav	001Animal_Domestic animals_ pets_Cat_Hiss	Animal	"Domestic animals, pets"	Cat	Hiss			TRUE	FALSE
146960__zabuhailo__cathisses.wav	001Animal_Domestic animals_ pets_Cat_Hiss	Animal	"Domestic animals, pets"	Cat	Hiss			FALSE	FALSE
277515__gezortenplotz__cat-growl-edit.wav	001Animal_Domestic animals_ pets_Cat_Hiss	Animal	"Domestic animals, pets"	Cat	Hiss			FALSE	FALSE
332975__ebcrosby__cat-fighting-sounds-clean.wav	001Animal_Domestic animals_ pets_Cat_Hiss	Animal	"Domestic animals, pets"	Cat	Hiss			FALSE	FALSE
343927__reitanna__hiss2.wav	001Animal_Domestic animals_ pets_Cat_Hiss	Animal	"Domestic animals, pets"	Cat	Hiss			FALSE	FALSE
343928__reitanna__hiss3.wav	001Animal_Domestic animals_ pets_Cat_Hiss	Animal	"Domestic animals, pets"	Cat	Hiss			FALSE	FALSE
386738__ken788__cat-hissing.wav	001Animal_Domestic animals_ pets_Cat_Hiss	Animal	"Domestic animals, pets"	Cat	Hiss			FALSE	FALSE
389708__suspensiondigital__large-angry-cats.wav	001Animal_Domestic animals_ pets_Cat_Hiss	Animal	"Domestic animals, pets"	Cat	Hiss			FALSE	FALSE
67444__promete__cat-angry-hissing-01.wav	001Animal_Domestic animals_ pets_Cat_Hiss	Animal	"Domestic animals, pets"	Cat	Hiss			FALSE	FALSE
71899__cmusounddesign__je-catexplode.wav	001Animal_Domestic animals_ pets_Cat_Hiss	Animal	"Domestic animals, pets"	Cat	Hiss			FALSE	FALSE
002Animal_Domestic animals_ pets_Cat_Meow_reference.wav	002Animal_Domestic animals_ pets_Cat_Meow	Animal	"Domestic animals, pets"	Cat	Meow			TRUE	FALSE
110011__tuberatanka__cat-meow.wav	002Animal_Domestic animals_ pets_Cat_Meow	Animal	"Domestic animals, pets"	Cat	Meow			FALSE	FALSE
131201__thegertz__cat-meow.wav	002Animal_Domestic animals_ pets_Cat_Meow	Animal	"Domestic animals, pets"	Cat	Meow			FALSE	FALSE
133869__elethorpia__cat-meowing.wav	002Animal_Domestic animals_ pets_Cat_Meow	Animal	"Domestic animals, pets"	Cat	Meow			FALSE	FALSE
213889__counter-gamer__the-cat-s-meow.wav	002Animal_Domestic animals_ pets_Cat_Meow	Animal	"Domestic animals, pets"	Cat	Meow			FALSE	FALSE
262313__steffcaffrey__cat-meow2.wav	002Animal_Domestic animals_ pets_Cat_Meow	Animal	"Domestic animals, pets"	Cat	Meow			FALSE	FALSE
274989__theshaggyfreak__cat-meowing.wav	002Animal_Domestic animals_ pets_Cat_Meow	Animal	"Domestic animals, pets"	Cat	Meow			FALSE	FALSE
362652__trngle__cat-meow.wav	002Animal_Domestic animals_ pets_Cat_Meow	Animal	"Domestic animals, pets"	Cat	Meow			FALSE	FALSE
383427__deleted-user-7146007__cat-meow-meowing.wav	002Animal_Domestic animals_ pets_Cat_Meow	Animal	"Domestic animals, pets"	Cat	Meow			FALSE	FALSE
61259__timtube__cat-meowing.wav	002Animal_Domestic animals_ pets_Cat_Meow	Animal	"Domestic animals, pets"	Cat	Meow			FALSE	FALSE
003Animal_Domestic animals_ pets_Cat_Purr_reference.wav	003Animal_Domestic animals_ pets_Cat_Purr	Animal	"Domestic animals, pets"	Cat	Purr			TRUE	FALSE
103646__mlekoman__cats-purr1.wav	003Animal_Domestic animals_ pets_Cat_Purr	Animal	"Domestic animals, pets"	Cat	Purr			FALSE	FALSE
123884__bmccoy2__catpurrmesa1.wav	003Animal_Domestic animals_ pets_Cat_Purr	Animal	"Domestic animals, pets"	Cat	Purr			FALSE	FALSE
147671__aivaaroo__purr-1.wav	003Animal_Domestic animals_ pets_Cat_Purr	Animal	"Domestic animals, pets"	Cat	Purr			FALSE	FALSE
194850__miklovan__purring-cat1.wav	003Animal_Domestic animals_ pets_Cat_Purr	Animal	"Domestic animals, pets"	Cat	Purr			FALSE	FALSE
194926__soundmary__cat-purr.wav	003Animal_Domestic animals_ pets_Cat_Purr	Animal	"Domestic animals, pets"	Cat	Purr			FALSE	FALSE
260881__trautwein__cat-purr1.wav	003Animal_Domestic animals_ pets_Cat_Purr	Animal	"Domestic animals, pets"	Cat	Purr			FALSE	FALSE
263778__thearxx08__purr1.wav	003Animal_Domestic animals_ pets_Cat_Purr	Animal	"Domestic animals, pets"	Cat	Purr			FALSE	FALSE
322012__abolla__cat-purr.wav	003Animal_Domestic animals_ pets_Cat_Purr	Animal	"Domestic animals, pets"	Cat	Purr			FALSE	FALSE
326294__blukotek__cat-purring-3.wav	003Animal_Domestic animals_ pets_Cat_Purr	Animal	"Domestic animals, pets"	Cat	Purr			FALSE	FALSE
004Animal_Domestic animals_ pets_Dog_Bark_reference.wav	004Animal_Domestic animals_ pets_Dog_Bark	Animal	"Domestic animals, pets"	Dog	Bark			TRUE	FALSE
163459__littlebigsounds__lbs-fx-dog-small-alert-bark001.wav	004Animal_Domestic animals_ pets_Dog_Bark	Animal	"Domestic animals, pets"	Dog	Bark			FALSE	FALSE
242402__noctaro__midsized-dog-bark-01.wav	004Animal_Domestic animals_ pets_Dog_Bark	Animal	"Domestic animals, pets"	Dog	Bark			FALSE	FALSE
254192__exuberate__dog-bark.wav	004Animal_Domestic animals_ pets_Dog_Bark	Animal	"Domestic animals, pets"	Dog	Bark			FALSE	FALSE
277058__kwahmah-02__single-dog-bark.wav	004Animal_Domestic animals_ pets_Dog_Bark	Animal	"Domestic animals, pets"	Dog	Bark			FALSE	FALSE
327666__juan-merie-venter__dog-bark.wav	004Animal_Domestic animals_ pets_Dog_Bark	Animal	"Domestic animals, pets"	Dog	Bark			FALSE	FALSE
332176__ivolipa__dog-bark-agressive.wav	004Animal_Domestic animals_ pets_Dog_Bark	Animal	"Domestic animals, pets"	Dog	Bark			FALSE	FALSE
332457__ivolipa__smal-dog-barking.wav	004Animal_Domestic animals_ pets_Dog_Bark	Animal	"Domestic animals, pets"	Dog	Bark			FALSE	FALSE
337101__ivolipa__group-of-dogs-barking 1.wav	004Animal_Domestic animals_ pets_Dog_Bark	Animal	"Domestic animals, pets"	Dog	Bark			FALSE	FALSE
86279__tito-lahaye__6-week-beagle-bark.wav	004Animal_Domestic animals_ pets_Dog_Bark	Animal	"Domestic animals, pets"	Dog	Bark			FALSE	FALSE
005Animal_Domestic animals_ pets_Dog_Growling_reference.wav	005Animal_Domestic animals_ pets_Dog_Growling	Animal	"Domestic animals, pets"	Dog	Growling			TRUE	FALSE
121565__juskiddink__dogs-growling.wav	005Animal_Domestic animals_ pets_Dog_Growling	Animal	"Domestic animals, pets"	Dog	Growling			FALSE	FALSE
130025__panikko__dog-growl.wav	005Animal_Domestic animals_ pets_Dog_Growling	Animal	"Domestic animals, pets"	Dog	Growling			FALSE	FALSE
163276__tobiaskosmos__doggrowl4.wav	005Animal_Domestic animals_ pets_Dog_Growling	Animal	"Domestic animals, pets"	Dog	Growling			FALSE	FALSE
167303__danieldouch__dog-growling.wav	005Animal_Domestic animals_ pets_Dog_Growling	Animal	"Domestic animals, pets"	Dog	Growling			FALSE	FALSE
321179__jickle__small-growling-dog 1.wav	005Animal_Domestic animals_ pets_Dog_Growling	Animal	"Domestic animals, pets"	Dog	Growling			FALSE	FALSE
337167__akiuee__my-dog-growling.wav	005Animal_Domestic animals_ pets_Dog_Growling	Animal	"Domestic animals, pets"	Dog	Growling			FALSE	FALSE
361429__black-trillium__dog-growls.wav	005Animal_Domestic animals_ pets_Dog_Growling	Animal	"Domestic animals, pets"	Dog	Growling			FALSE	FALSE
366604__jittels__aggressive-dog-growl 1.wav	005Animal_Domestic animals_ pets_Dog_Growling	Animal	"Domestic animals, pets"	Dog	Growling			FALSE	FALSE
84650__tomc1985__ginger10.wav	005Animal_Domestic animals_ pets_Dog_Growling	Animal	"Domestic animals, pets"	Dog	Growling			FALSE	FALSE
006Animal_Domestic animals_ pets_Dog_Howl_reference.wav	006Animal_Domestic animals_ pets_Dog_Howl	Animal	"Domestic animals, pets"	Dog	Howl			TRUE	FALSE
115357__simcotter__dog-howling 1.wav	006Animal_Domestic animals_ pets_Dog_Howl	Animal	"Domestic animals, pets"	Dog	Howl			FALSE	FALSE
155310__jace__dog-disonant-howl.wav	006Animal_Domestic animals_ pets_Dog_Howl	Animal	"Domestic animals, pets"	Dog	Howl			FALSE	FALSE
158974__cgeffex__dog-howl-03.wav	006Animal_Domestic animals_ pets_Dog_Howl	Animal	"Domestic animals, pets"	Dog	Howl			FALSE	FALSE
158975__cgeffex__dog-howl-02.wav	006Animal_Domestic animals_ pets_Dog_Howl	Animal	"Domestic animals, pets"	Dog	Howl			FALSE	FALSE
158976__cgeffex__dog-howl-01.wav	006Animal_Domestic animals_ pets_Dog_Howl	Animal	"Domestic animals, pets"	Dog	Howl			FALSE	FALSE
236258__delphidebrain__jazz-the-dog-howl-bark-101.wav	006Animal_Domestic animals_ pets_Dog_Howl	Animal	"Domestic animals, pets"	Dog	Howl			FALSE	FALSE
366017__pastabra__dogs-howling.wav	006Animal_Domestic animals_ pets_Dog_Howl	Animal	"Domestic animals, pets"	Dog	Howl			FALSE	FALSE
369648__be-steele__exuberant-yelp-howl.wav	006Animal_Domestic animals_ pets_Dog_Howl	Animal	"Domestic animals, pets"	Dog	Howl			FALSE	FALSE
65270__noisecollector__dogsong 1.wav	006Animal_Domestic animals_ pets_Dog_Howl	Animal	"Domestic animals, pets"	Dog	Howl			FALSE	FALSE
007Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Cowbell_reference.wav	007Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Cowbell	Animal	"Livestock, farm animals, working animals"	"Cattle, bovinae"	Cowbell			TRUE	FALSE
146166__amandajbono__cow-bell.wav	007Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Cowbell	Animal	"Livestock, farm animals, working animals"	"Cattle, bovinae"	Cowbell			FALSE	FALSE
159760__timgormly__cowbell-os-1.wav	007Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Cowbell	Animal	"Livestock, farm animals, working animals"	"Cattle, bovinae"	Cowbell			FALSE	FALSE
159764__timgormly__cowbell-rattle-1.wav	007Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Cowbell	Animal	"Livestock, farm animals, working animals"	"Cattle, bovinae"	Cowbell			FALSE	FALSE
231275__stomachache__cowbell.wav	007Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Cowbell	Animal	"Livestock, farm animals, working animals"	"Cattle, bovinae"	Cowbell			FALSE	FALSE
319149__mozaic__lp-cowbell.wav	007Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Cowbell	Animal	"Livestock, farm animals, working animals"	"Cattle, bovinae"	Cowbell			FALSE	FALSE
