,participant_id,age,gender,hearing_problems,speech_problems,years_actively_using_music_tech,frequency_using_music_tech,years_actively_making_music,frequency_making_music,years_actively_singing,frequency_singing
0,5181175278600192,19,m,False,False,1.0,Once or twice a month,1.0,Once or twice a month,0.0,Never
1,4914236350267392,21,m,False,False,73.0,More than once or twice a week,0.0,Never,0.0,Never
2,5161516139544576,21,m,False,False,1.0,Once or twice a week,0.0,Never,0.0,Less than once or twice a year
3,6699325421780992,22,m,False,False,0.0,Never,73.0,Once or twice a year,6.0,Once or twice a month
4,4936783586394112,23,f,False,False,0.0,Never,0.0,Never,0.0,Never
5,5140324770906112,23,m,False,False,0.0,Never,0.0,Less than once or twice a year,0.0,Never
6,5149503652888576,23,m,False,False,6.0,Once or twice a month,5.0,Once or twice a month,10.0,More than once or twice a week
7,5710839772348416,23,f,True,True,0.0,Never,0.0,Never,0.0,Never
8,6000713020735488,23,f,False,False,23.0,Once or twice a week,1.0,Less than once or twice a year,0.0,Never
9,4998180143890432,24,m,False,False,28.0,Once or twice a year,12.0,Once or twice a year,0.0,Never
10,5085384086126592,24,m,False,False,100.0,Once or twice a month,28.0,Once or twice a week,18.0,Once or twice a week
11,5331129229901824,24,m,True,False,27.0,Never,26.0,Less than once or twice a year,26.0,Never
12,5642554087309312,24,m,False,False,24.0,Once or twice a year,26.0,Once or twice a year,0.0,Once or twice a week
13,5745347150217216,24,m,False,False,0.0,Never,0.0,Never,0.0,Never
14,6210856643723264,24,m,False,False,0.0,Never,0.0,Never,20.0,Once or twice a week
15,4614874713817088,25,f,False,False,0.0,More than once or twice a week,0.0,Less than once or twice a year,0.0,Less than once or twice a year
16,4744659230261248,25,m,False,False,0.0,Never,0.0,Never,0.0,Never
17,5080187175698432,25,m,False,False,5.0,More than once or twice a week,43.0,Once or twice a week,6.0,Once or twice a week
18,5207284384792576,25,m,False,False,0.0,Never,0.0,Never,0.0,Never
19,5405208825823232,25,m,False,False,130.0,Once or twice a week,0.0,Never,0.0,Never
20,5957800391868416,25,f,False,False,0.0,Never,0.0,Never,0.0,Never
21,6200439200546816,25,f,True,True,72.0,Less than once or twice a year,0.0,Never,0.0,Never
22,6311526650609664,25,f,False,False,0.0,Once or twice a year,21.0,More than once or twice a week,10.0,More than once or twice a week
23,6486979017441280,25,m,False,False,68.0,Once or twice a week,63.0,Once or twice a month,63.0,Once or twice a month
24,4818404624039936,26,m,False,False,75.0,Once or twice a year,61.0,Once or twice a month,76.0,Once or twice a month
25,5072465898242048,26,f,False,False,7.0,More than once or twice a week,9.0,Once or twice a week,15.0,More than once or twice a week
26,5105956442603520,26,f,False,False,15.0,Once or twice a week,4.0,Once or twice a week,0.0,Never
27,5132209967071232,26,m,False,False,0.0,Never,0.0,Never,0.0,Once or twice a month
28,5182686570217472,26,m,False,False,3.0,Once or twice a month,38.0,Once or twice a month,61.0,Once or twice a year
29,5348764097183744,26,m,False,False,0.0,More than once or twice a week,0.0,Less than once or twice a year,0.0,Less than once or twice a year
30,5445914915241984,26,m,False,False,0.0,Never,0.0,Never,0.0,Never
31,5663284820705280,26,f,False,False,10.0,Once or twice a month,3.0,Once or twice a month,10.0,Once or twice a month
32,6042219316248576,26,f,False,True,0.0,Never,0.0,Never,0.0,Never
33,6193820924379136,26,f,False,False,15.0,Once or twice a year,15.0,Less than once or twice a year,20.0,More than once or twice a week
34,6550458634076160,26,m,False,False,94.0,Once or twice a week,8.0,Once or twice a week,0.0,Never
35,4848623208628224,27,m,False,False,0.0,Never,0.0,Never,0.0,Never
36,5031290046775296,27,f,False,False,4.0,Once or twice a month,4.0,Once or twice a month,20.0,More than once or twice a week
37,5195451749892096,27,m,False,False,37.0,Never,0.0,Never,0.0,Never
38,5210772435107840,27,m,False,False,4.0,Once or twice a week,4.0,Once or twice a week,4.0,Once or twice a week
39,5486019709239296,27,m,False,False,0.0,Never,0.0,Never,0.0,Never
40,5736907271045120,27,m,False,False,76.0,More than once or twice a week,3.0,Once or twice a month,5.0,More than once or twice a week
41,5827421290889216,27,f,False,False,92.0,Once or twice a month,18.0,Once or twice a year,0.0,Never
42,5857344328040448,27,f,False,False,3.0,Once or twice a year,3.0,Once or twice a week,2.0,Once or twice a week
43,5941297248468992,27,m,False,False,5.0,More than once or twice a week,3.0,Less than once or twice a year,0.0,Never
44,5965057007550464,27,f,False,False,0.0,Never,0.0,Never,0.0,Never
45,5970888767832064,27,f,False,False,66.0,Once or twice a year,144.0,Once or twice a week,26.0,More than once or twice a week
46,6010232278876160,27,m,False,False,38.0,Once or twice a month,38.0,Once or twice a week,61.0,Once or twice a month
47,6022090146709504,27,m,False,False,7.0,Once or twice a month,5.0,Once or twice a month,0.0,Never
48,6251110419398656,27,f,False,False,60.0,Once or twice a month,60.0,Never,60.0,Never
49,4603587539763200,28,m,False,False,0.0,Never,0.0,Never,0.0,Less than once or twice a year
50,4800631244062720,28,m,False,False,0.0,Never,5.0,Less than once or twice a year,25.0,Once or twice a week
51,4890842737147904,28,m,False,False,10.0,Once or twice a month,15.0,Less than once or twice a year,0.0,Never
52,5069813219065856,28,m,False,False,10.0,Once or twice a year,0.0,Never,0.0,Never
53,5094280574009344,28,f,False,False,0.0,Less than once or twice a year,75.0,Less than once or twice a year,75.0,Once or twice a year
54,5119512433131520,28,m,False,False,12.0,Once or twice a week,10.0,Less than once or twice a year,0.0,Never
