	category_id	category_d1	category_d2	category_d3	category_d4	category_d5	category_d6	reference_filename
0	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav
1	1	Animal	Domestic animals, pets	Cat	Hiss			001Animal_Domestic animals_ pets_Cat_Hiss_reference.wav
2	2	Animal	Domestic animals, pets	Cat	Meow			002Animal_Domestic animals_ pets_Cat_Meow_reference.wav
3	3	Animal	Domestic animals, pets	Cat	Purr			003Animal_Domestic animals_ pets_Cat_Purr_reference.wav
4	4	Animal	Domestic animals, pets	Dog	Bark			004Animal_Domestic animals_ pets_Dog_Bark_reference.wav
5	5	Animal	Domestic animals, pets	Dog	Growling			005Animal_Domestic animals_ pets_Dog_Growling_reference.wav
6	6	Animal	Domestic animals, pets	Dog	Howl			006Animal_Domestic animals_ pets_Dog_Howl_reference.wav
7	7	Animal	Livestock, farm animals, working animals	Cattle, bovinae	Cowbell			007Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Cowbell_reference.wav
8	8	Animal	Livestock, farm animals, working animals	Cattle, bovinae	Moo			008Animal_Livestock_ farm animals_ working animals_Cattle_ bovinae_Moo_reference.wav
9	9	Animal	Livestock, farm animals, working animals	Fowl	Chicken, rooster	Cluck		009Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Cluck_reference.wav
10	10	Animal	Livestock, farm animals, working animals	Fowl	Chicken, rooster	Crowing, cock-a-doodle-doo		010Animal_Livestock_ farm animals_ working animals_Fowl_Chicken_ rooster_Crowing_ cock-a-doodle-doo_reference.wav
11	11	Animal	Livestock, farm animals, working animals	Fowl	Duck	Quack		011Animal_Livestock_ farm animals_ working animals_Fowl_Duck_Quack_reference.wav
12	12	Animal	Livestock, farm animals, working animals	Fowl	Goose	Honk		012Animal_Livestock_ farm animals_ working animals_Fowl_Goose_Honk_reference.wav
13	13	Animal	Livestock, farm animals, working animals	Fowl	Turkey	Gobble		013Animal_Livestock_ farm animals_ working animals_Fowl_Turkey_Gobble_reference.wav
14	14	Animal	Livestock, farm animals, working animals	Goat	Bleat			014Animal_Livestock_ farm animals_ working animals_Goat_Bleat_reference.wav
15	15	Animal	Livestock, farm animals, working animals	Horse	Clip-clop			015Animal_Livestock_ farm animals_ working animals_Horse_Clip-clop_reference.wav
16	16	Animal	Livestock, farm animals, working animals	Horse	Neigh, whinny			016Animal_Livestock_ farm animals_ working animals_Horse_Neigh_ whinny_reference.wav
17	17	Animal	Livestock, farm animals, working animals	Horse	Snort (horse)			017Animal_Livestock_ farm animals_ working animals_Horse_Snort (horse)_reference.wav
18	18	Animal	Livestock, farm animals, working animals	Pig	Oink			018Animal_Livestock_ farm animals_ working animals_Pig_Oink_reference.wav
19	19	Animal	Wild animals	Bird	Bird flight, flapping wings			019Animal_Wild animals_Bird_Bird flight_ flapping wings_reference.wav
20	20	Animal	Wild animals	Bird	Bird vocalization, bird call, bird song	Chirp, tweet		020Animal_Wild animals_Bird_Bird vocalization_ bird call_ bird song_Chirp_ tweet_reference.wav
21	21	Animal	Wild animals	Bird	Crow	Caw		021Animal_Wild animals_Bird_Crow_Caw_reference.wav
22	22	Animal	Wild animals	Bird	Owl	Hoot		022Animal_Wild animals_Bird_Owl_Hoot_reference.wav
23	23	Animal	Wild animals	Bird	Pigeon, dove	Coo		023Animal_Wild animals_Bird_Pigeon_ dove_Coo_reference.wav
24	24	Animal	Wild animals	Frog	Croak			024Animal_Wild animals_Frog_Croak_reference.wav
25	25	Animal	Wild animals	Insect	Bee, wasp, etc.	Buzz		025Animal_Wild animals_Insect_Bee_ wasp_ etc_Buzz_reference.wav
26	26	Animal	Wild animals	Insect	Cricket			026Animal_Wild animals_Insect_Cricket_reference.wav
27	27	Animal	Wild animals	Insect	Mosquito			027Animal_Wild animals_Insect_Mosquito_reference.wav
28	28	Animal	Wild animals	Roaring cats (lions, tigers)	Roar			028Animal_Wild animals_Roaring cats (lions_ tigers)_Roar_reference.wav
29	29	Animal	Wild animals	Rodents, rats, mice	Mouse			029Animal_Wild animals_Rodents_ rats_ mice_Mouse___3Samples_reference.wav
30	30	Animal	Wild animals	Snake	Rattle			030Animal_Wild animals_Snake_Rattle_reference.wav
31	31	Channel, environment and background	Noise	Background noise	Mains hum			031Channel_ environment and background_Noise_Background noise_Mains hum_reference.wav
32	32	Channel, environment and background	Noise	Background noise	Tape hiss			032Channel_ environment and background_Noise_Background noise_Tape hiss_reference.wav
33	33	Channel, environment and background	Noise	Pink noise				033Channel_ environment and background_Noise_Pink noise_reference.wav
34	34	Channel, environment and background	Noise	White noise				034Channel_ environment and background_Noise_White noise_reference.wav
35	35	Human sounds	Digestive	Biting				035Human sounds_Digestive_Biting_ Chewing_reference.wav
36	36	Human sounds	Digestive	Burping, eructation				036Human sounds_Digestive_Burping_ eructation_reference.wav
37	37	Human sounds	Digestive	Fart				037Human sounds_Digestive_Fart_reference.wav
38	38	Human sounds	Digestive	Gargling				038Human sounds_Digestive_Gargling_reference.wav
39	39	Human sounds	Digestive	Hiccup				039Human sounds_Digestive_Hiccup_reference.wav
40	40	Human sounds	Digestive	Stomach rumble				040Human sounds_Digestive_Stomach rumble_reference.wav
41	41	Human sounds	Hands	Clapping				041Human sounds_Hands_Clapping_reference.wav
42	42	Human sounds	Hands	Finger snapping				042Human sounds_Hands_Finger snapping_reference.wav
43	43	Human sounds	Heart sounds, heartbeat	Heart murmur				043Human sounds_Heart sounds_ heartbeat_reference.wav
44	44	Human sounds	Human group actions	Applause				044Human sounds_Human group actions_Applause_reference.wav
45	45	Human sounds	Human group actions	Booing				045Human sounds_Human group actions_Booing_reference.wav
46	46	Human sounds	Human group actions	Cheering				046Human sounds_Human group actions_Cheering_reference.wav
47	47	Human sounds	Human group actions	Children shouting				047Human sounds_Human group actions_Children shouting_reference.wav
48	48	Human sounds	Human locomotion	Run				048Human sounds_Human locomotion_Run_reference.wav
49	49	Human sounds	Human locomotion	Shuffle				049Human sounds_Human locomotion_Shuffle_reference.wav
50	50	Human sounds	Human locomotion	Walk, footsteps				050Human sounds_Human locomotion_Walk_ footsteps_reference.wav
51	51	Human sounds	Human voice	Crying, sobbing	Baby cry, infant cry			051Human sounds_Human voice_Crying_ sobbing_Baby cry_ infant cry_reference.wav
52	52	Human sounds	Human voice	Groan				052Human sounds_Human voice_Groan_reference.wav
53	53	Human sounds	Human voice	Grunt				053Human sounds_Human voice_Grunt_reference.wav
54	54	Human sounds	Human voice	Humming				054Human sounds_Human voice_Humming_reference.wav
55	55	Human sounds	Human voice	Laughter	Baby laughter			055Human sounds_Human voice_Laughter_Baby laughter_reference.wav
56	56	Human sounds	Human voice	Laughter	Chuckle, chortle			056Human sounds_Human voice_Laughter_Chuckle_ chortle_reference.wav
57	57	Human sounds	Human voice	Laughter	Giggle			057Human sounds_Human voice_Laughter_Giggle_reference.wav
58	58	Human sounds	Human voice	Screaming				058Human sounds_Human voice_Screaming_reference.wav
59	59	Human sounds	Human voice	Shout	Children shouting			059Human sounds_Human voice_Shout_Children shouting_reference.wav
60	60	Human sounds	Human voice	Shout	Whoop			060Human sounds_Human voice_Shout_Whoop_reference.wav
61	61	Human sounds	Human voice	Shout	Yell			061Human sounds_Human voice_Shout_Yell_reference.wav
62	62	Human sounds	Human voice	Sigh				062Human sounds_Human voice_Sigh_reference.wav
63	63	Human sounds	Human voice	Wail, moan				063Human sounds_Human voice_Wail_ moan_reference.wav
64	64	Human sounds	Human voice	Whispering				064Human sounds_Human voice_Whispering_reference.wav
65	65	Human sounds	Human voice	Yawn				065Human sounds_Human voice_Yawn_reference.wav
66	66	Human sounds	Respiratory sounds	Breathing	Gasp			066Human sounds_Respiratory sounds_Breathing_Gasp_reference.wav
67	67	Human sounds	Respiratory sounds	Breathing	Pant			067Human sounds_Respiratory sounds_Breathing_Pant_reference.wav
68	68	Human sounds	Respiratory sounds	Breathing	Snoring			068Human sounds_Respiratory sounds_Breathing_Snoring_reference.wav
69	69	Human sounds	Respiratory sounds	Cough	Throat clearing			069Human sounds_Respiratory sounds_Cough_Throat clearing_reference.wav
70	70	Human sounds	Respiratory sounds	Sneeze				070Human sounds_Respiratory sounds_Sneeze_reference.wav
71	71	Human sounds	Respiratory sounds	Sniff				071Human sounds_Respiratory sounds_Sniff_reference.wav
72	72	Human sounds	Whistling	Wolf-whistling				072Human sounds_Whistling_Wolf-whistling_reference.wav
73	73	Music	Musical instrument	Accordion				073Music_Musical instrument_Accordion_reference.wav
74	74	Music	Musical instrument	Bagpipes				074Music_Musical instrument_Bagpipes_reference.wav
75	75	Music	Musical instrument	Bell	Bicycle bell			075Music_Musical instrument_Bell_Bicycle bell_reference.wav
76	76	Music	Musical instrument	Bell	Chime	Wind chime		076Music_Musical instrument_Bell_Chime_Wind chime_reference.wav
77	77	Music	Musical instrument	Bell	Church bell			077Music_Musical instrument_Bell_Church bell_reference.wav
78	78	Music	Musical instrument	Bell	Jingle bell			078Music_Musical instrument_Bell_Jingle bell_reference.wav
79	79	Music	Musical instrument	Bell	Tuning fork			079Music_Musical instrument_Bell_Tuning fork_reference.wav
80	80	Music	Musical instrument	Bowed string instrument	Cello			080Music_Musical instrument_Bowed string instrument_Cello_reference.wav
81	81	Music	Musical instrument	Bowed string instrument	Double bass			081Music_Musical instrument_Bowed string instrument_Double bass_reference.wav
82	82	Music	Musical instrument	Bowed string instrument	String section			082Music_Musical instrument_Bowed string instrument_String section_reference.wav
83	83	Music	Musical instrument	Bowed string instrument	Violin, fiddle	Pizzicato		083Music_Musical instrument_Bowed string instrument_Violin_ fiddle_Pizzicato_reference.wav
84	84	Music	Musical instrument	Brass instrument	Bugle			084Music_Musical instrument_Brass instrument_Bugle_reference.wav
85	85	Music	Musical instrument	Brass instrument	Cornet			085Music_Musical instrument_Brass instrument_Cornet_reference.wav
86	86	Music	Musical instrument	Brass instrument	French horn			086Music_Musical instrument_Brass instrument_French horn_reference.wav
87	87	Music	Musical instrument	Brass instrument	Trombone			087Music_Musical instrument_Brass instrument_Trombone_reference.wav
88	88	Music	Musical instrument	Brass instrument	Trumpet			088Music_Musical instrument_Brass instrument_Trumpet_reference.wav
89	89	Music	Musical instrument	Choir				089Music_Musical instrument_Choir_reference.wav
90	90	Music	Musical instrument	Didgeridoo				090Music_Musical instrument_Didgeridoo_reference.wav
91	91	Music	Musical instrument	Harmonica				091Music_Musical instrument_Harmonica_reference.wav
92	92	Music	Musical instrument	Harp				092Music_Musical instrument_Harp_reference.wav
93	93	Music	Musical instrument	Keyboard (musical)	Harpsichord			093Music_Musical instrument_Keyboard (musical)_Harpsichord_reference.wav
94	94	Music	Musical instrument	Keyboard (musical)	Organ	Electronic organ		094Music_Musical instrument_Keyboard (musical)_Organ_Electronic organ_reference.wav
95	95	Music	Musical instrument	Keyboard (musical)	Organ	Hammond organ		095Music_Musical instrument_Keyboard (musical)_Organ_Hammond organ_reference.wav
96	96	Music	Musical instrument	Keyboard (musical)	Piano	Electric piano		096Music_Musical instrument_Keyboard (musical)_Piano_Electric piano_reference.wav
97	97	Music	Musical instrument	Keyboard (musical)	Synthesizer	Mellotron		097Music_Musical instrument_Keyboard (musical)_Synthesizer_Mellotron_reference.wav
98	98	Music	Musical instrument	Keyboard (musical)	Synthesizer	Sampler		098Music_Musical instrument_Keyboard (musical)_Synthesizer_Sampler_reference.wav
99	99	Music	Musical instrument	Musical ensemble				099Music_Musical instrument_Musical ensemble_reference.wav
100	100	Music	Musical instrument	Orchestra				100Music_Musical instrument_Orchestra_reference.wav
101	101	Music	Musical instrument	Percussion	Cowbell			101Music_Musical instrument_Percussion_Cowbell_reference.wav
102	102	Music	Musical instrument	Percussion	Cymbal	Crash cymbal		102Music_Musical instrument_Percussion_Cymbal_Crash Cymbal_reference.wav
103	103	Music	Musical instrument	Percussion	Cymbal	Hi-hat		103Music_Musical instrument_Percussion_Cymbal_Hi-hat_reference.wav
104	104	Music	Musical instrument	Percussion	Drum kit	Drum machine		104Music_Musical instrument_Percussion_Drum kit_Drum machine_reference.wav
105	105	Music	Musical instrument	Percussion	Drum	Bass drum		105Music_Musical instrument_Percussion_Drum_Bass drum_reference.wav
106	106	Music	Musical instrument	Percussion	Drum	Snare drum	Drum roll	106Music_Musical instrument_Percussion_Drum_Snare drum_Drum roll_reference.wav
107	107	Music	Musical instrument	Percussion	Drum	Snare drum	Rimshot	107Music_Musical instrument_Percussion_Drum_Snare drum_Rimshot_reference.wav
108	108	Music	Musical instrument	Percussion	Drum	Tabla		108Music_Musical instrument_Percussion_Drum_Tabla_reference.wav
109	109	Music	Musical instrument	Percussion	Drum	Timpani		109Music_Musical instrument_Percussion_Drum_Timpani_reference.wav
110	110	Music	Musical instrument	Percussion	Gong			110Music_Musical instrument_Percussion_Gong_reference.wav
111	111	Music	Musical instrument	Percussion	Mallet percussion	Glockenspiel		111Music_Musical instrument_Percussion_Mallet percussion_Glockenspiel_reference.wav
112	112	Music	Musical instrument	Percussion	Mallet percussion	Marimba, xylophone		112Music_Musical instrument_Percussion_Mallet percussion_Marimba_ xylophone_reference.wav
113	113	Music	Musical instrument	Percussion	Mallet percussion	Vibraphone		113Music_Musical instrument_Percussion_Mallet percussion_Vibraphone_reference.wav
114	114	Music	Musical instrument	Percussion	Rattle (instrument)	Maraca		114Music_Musical instrument_Percussion_Rattle (instrument)_Maraca_reference.wav
115	115	Music	Musical instrument	Percussion	Tambourine			115Music_Musical instrument_Percussion_Tambourine_reference.wav
116	116	Music	Musical instrument	Percussion	Tubular bells			116Music_Musical instrument_Percussion_Tubular bells_reference.wav
117	117	Music	Musical instrument	Percussion	Wood block			117Music_Musical instrument_Percussion_Wood block_reference.wav
