	imitation_id	imitation_filename	category_id	category_d1	category_d2	category_d3	category_d4	category_d5	category_d6	reference_filename	included	draft	training	participant_id	satisfaction	participants_sound_recording_description	participants_sound_recording_description_confidence
0	0	000Animal_Domestic animals_ pets_Cat_Growling-4808870065078272.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	True	False	False	5734240000000000.0	Completely satisfied	I do try my best.	Confident
1	1	000Animal_Domestic animals_ pets_Cat_Growling-4815397341626368.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	True	False	False	4875300000000000.0	Mostly dissatisfied	an atv motor	Not at all confident
2	2	000Animal_Domestic animals_ pets_Cat_Growling-4904330813505536.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	True	False	6286100000000000.0			
3	3	000Animal_Domestic animals_ pets_Cat_Growling-5017091958636544.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	True	False	False	4824970000000000.0	Mostly satisfied	a lion growling	Confident
4	4	000Animal_Domestic animals_ pets_Cat_Growling-5112317826039808.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	True	False	False	6286100000000000.0	Mostly satisfied	Lion purr	Confident
5	5	000Animal_Domestic animals_ pets_Cat_Growling-5128928880492544.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	True	False	False	5466390000000000.0	Mostly dissatisfied	burping	Not so confident
6	6	000Animal_Domestic animals_ pets_Cat_Growling-5138546386010112.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	True	False	False	6020600000000000.0	Somewhat dissatisfied	Lion roaring	Confident
7	7	000Animal_Domestic animals_ pets_Cat_Growling-5152476843999232.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	True	False	6286100000000000.0			
8	8	000Animal_Domestic animals_ pets_Cat_Growling-5162252189564928.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	True	False	6286100000000000.0			
9	9	000Animal_Domestic animals_ pets_Cat_Growling-5179556612800512.wav	0	Animal	Domestic animals, pets	Cat	Growling			000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	True	False	6286100000000000.0			
