	id	imitation_filename	reference_filename	wrong_pair	listener_id	is_imitation	is_right_imitation	rating
0	0	000Animal_Domestic animals_ pets_Cat_Growling-4808870065078272.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	8	True	True	17.0
1	1	000Animal_Domestic animals_ pets_Cat_Growling-4815397341626368.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	4	True	True	16.0
2	2	000Animal_Domestic animals_ pets_Cat_Growling-4815397341626368.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	4	True	True	23.0
3	3	000Animal_Domestic animals_ pets_Cat_Growling-5017091958636544.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	6	True	True	11.0
4	4	000Animal_Domestic animals_ pets_Cat_Growling-5112317826039808.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	9	True	True	79.0
5	5	000Animal_Domestic animals_ pets_Cat_Growling-5112317826039808.wav	142Natural sounds_Water_Rain_Rain on surface_reference.wav	True	9	True	False	
6	6	000Animal_Domestic animals_ pets_Cat_Growling-5128928880492544.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	9	True	True	22.0
7	7	000Animal_Domestic animals_ pets_Cat_Growling-5138546386010112.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	9	True	True	74.0
8	8	000Animal_Domestic animals_ pets_Cat_Growling-5138546386010112.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	9	True	True	71.0
9	9	000Animal_Domestic animals_ pets_Cat_Growling-5680316245082112.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	3	True	True	84.0
10	10	000Animal_Domestic animals_ pets_Cat_Growling-5704147139559424.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	10	True	True	23.0
11	11	000Animal_Domestic animals_ pets_Cat_Growling-5706033703944192.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	2	True	True	90.0
12	12	000Animal_Domestic animals_ pets_Cat_Growling-5763711893504000.wav	000Animal_Domestic animals_ pets_Cat_Growling_reference.wav	False	7	True	True	93.0
